,cancel_dt,car_id,end_dt,forced_cancel_dt,forced_end_dt,id,omms_id,registered_dt,reserved_type,sharing_uid,start_dt,station_id_dst,station_id_org,status,usertype,time_bucket
39,,88,2018-03-29 07:22:07,,,325930,TP#08792,2018-03-29 07:17:23,1,100316470,2018-03-29 07:18:20,38,22,13,Rebalancer,2018-03-29 07:20:00
40,,6012,2018-03-29 07:25:08,,,325931,TP#07JW2,2018-03-29 07:18:53,1,100316471,2018-03-29 07:22:42,49,55,13,Rebalancer,2018-03-29 07:25:00
43,,29,2018-03-29 07:30:28,,,325937,TP#08792,2018-03-29 07:22:35,1,100316475,2018-03-29 07:27:09,38,22,13,Rebalancer,2018-03-29 07:25:00
45,,75,2018-03-29 07:32:45,,,325938,TP#07JW2,2018-03-29 07:26:53,1,100316477,2018-03-29 07:28:48,38,55,13,Rebalancer,2018-03-29 07:30:00
48,,105,2018-03-29 07:40:54,,,325943,TP#08792,2018-03-29 07:31:32,1,100316480,2018-03-29 07:35:49,38,22,13,Rebalancer,2018-03-29 07:35:00
50,,82,2018-03-29 07:40:53,,,325942,TP#07JW2,2018-03-29 07:34:40,1,100316482,2018-03-29 07:37:10,38,22,13,Rebalancer,2018-03-29 07:35:00
57,,97,2018-03-29 07:50:06,,,325947,TP#07JW2,2018-03-29 07:42:24,1,100316490,2018-03-29 07:46:10,38,55,13,Rebalancer,2018-03-29 07:45:00
56,,62,2018-03-29 07:49:52,,,325946,TP#08792,2018-03-29 07:42:01,1,100316489,2018-03-29 07:46:18,38,22,13,Rebalancer,2018-03-29 07:45:00
62,,50,2018-03-29 07:59:34,,,325954,TP#08792,2018-03-29 07:50:42,1,100316495,2018-03-29 07:55:15,37,22,13,Rebalancer,2018-03-29 07:55:00
72,,24,2018-03-29 08:15:43,,,325959,TP#08792,2018-03-29 08:03:42,1,100316506,2018-03-29 08:10:28,2015,55,13,Rebalancer,2018-03-29 08:10:00
